TP_SUBSTANCIA,NU_LMR,DS_INGREDIENTE_ATIVO,ST_AUTORIZADO,NO_CULTURA,NO_UNIDADE_MEDIDA,DT_INICIO_VIGENCIA
quimico,5.0,mefentrifluconazol,sim,arroz,miligrama/kilograma  ,03/21/2024 00:00:00
quimico,0.0,mevinfós,não,alface,miligrama/kilograma  ,07/22/2019 00:00:00
quimico,0.05,metsulfurom metílico,sim,centeio,miligrama/kilograma  ,07/04/2016 00:00:00
quimico,0.5,fludioxonil,sim,feijões,miligrama/kilograma  ,10/05/2022 00:00:00
quimico,0.2,fludioxonil,sim,soja,miligrama/kilograma  ,08/26/2019 00:00:00
quimico,0.02,famoxadona,sim,cenoura,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.2,fenpropatrina,sim,berinjela,miligrama/kilograma  ,12/09/2019 00:00:00
quimico,0.04,espiromesifeno,sim,algodão,miligrama/kilograma  ,07/01/2024 00:00:00
quimico,0.0,acetato de fentina,não,cebola,miligrama/kilograma  ,07/22/2019 00:00:00
quimico,0.2,diafentiurom,sim,café,miligrama/kilograma  ,07/13/2010 00:00:00
quimico,0.02,espiromesifeno,sim,beterraba,miligrama/kilograma  ,08/08/2016 00:00:00
quimico,0.2,flutriafol,sim,pepino,miligrama/kilograma  ,08/28/2017 00:00:00
quimico,0.02,flonicamida,sim,milheto,miligrama/kilograma  ,02/22/2023 00:00:00
quimico,0.1,diafentiurom,sim,guaraná,miligrama/kilograma  ,12/13/2023 00:00:00
quimico,0.03,espiromesifeno,sim,algodão,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.7,espiromesifeno,sim,berinjela,miligrama/kilograma  ,08/08/2016 00:00:00
quimico,0.05,espiromesifeno,sim,dendê,miligrama/kilograma  ,08/08/2016 00:00:00
quimico,0.2,espiromesifeno,sim,melancia,miligrama/kilograma  ,08/08/2016 00:00:00
quimico,0.7,espiromesifeno,sim,pimenta,miligrama/kilograma  ,08/08/2016 00:00:00
quimico,0.02,espiromesifeno,sim,rabanete,miligrama/kilograma  ,08/08/2016 00:00:00
quimico,0.02,espiromesifeno,sim,soja,miligrama/kilograma  ,10/25/2007 00:00:00
quimico,15.0,espiromesifeno,sim,espinafre,miligrama/kilograma  ,12/18/2019 00:00:00
quimico,15.0,espiromesifeno,sim,estévia,miligrama/kilograma  ,12/18/2019 00:00:00
quimico,0.7,espiromesifeno,sim,maracujá,miligrama/kilograma  ,12/18/2019 00:00:00
quimico,0.1,espiromesifeno,sim,repolho,miligrama/kilograma  ,12/18/2019 00:00:00
quimico,0.06,espiromesifeno,sim,feijão,miligrama/kilograma  ,09/28/2020 00:00:00
quimico,0.06,espiromesifeno,sim,feijões,miligrama/kilograma  ,12/23/2024 00:00:00
quimico,0.6,espiromesifeno,sim,mangaba,miligrama/kilograma  ,12/23/2024 00:00:00
quimico,0.6,espiromesifeno,sim,figo,miligrama/kilograma  ,12/23/2024 00:00:00
quimico,0.1,acetato de fentina,não,café,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.07,diafentiurom,sim,mandioquinha-salsa / batata baroa,miligrama/kilograma  ,12/13/2023 00:00:00
quimico,0.01,etiprole,sim,sorgo,miligrama/kilograma  ,11/03/2020 00:00:00
quimico,0.1,etiprole,sim,algodão,miligrama/kilograma  ,12/13/2012 00:00:00
quimico,0.005,etiprole,sim,arroz,miligrama/kilograma  ,12/06/2006 00:00:00
quimico,0.1,etiprole,sim,café,miligrama/kilograma  ,09/05/2016 00:00:00
quimico,0.02,etiprole,sim,cana-de-açúcar,miligrama/kilograma  ,11/08/2019 00:00:00
quimico,0.08,etiprole,sim,soja,miligrama/kilograma  ,12/09/2019 00:00:00
quimico,0.2,etiprole,sim,algodão,miligrama/kilograma  ,10/10/2018 00:00:00
quimico,0.01,etiprole,sim,milho,miligrama/kilograma  ,11/03/2020 00:00:00
quimico,0.005,etiprole,sim,cana-de-açúcar,miligrama/kilograma  ,12/06/2006 00:00:00
quimico,0.01,etiprole,sim,arroz,miligrama/kilograma  ,11/08/2019 00:00:00
quimico,0.05,etoxazol,sim,tomate,miligrama/kilograma  ,12/28/2006 00:00:00
quimico,0.3,etoxazol,sim,algodão,miligrama/kilograma  ,12/28/2006 00:00:00
quimico,0.01,etoxazol,sim,café,miligrama/kilograma  ,12/28/2022 00:00:00
quimico,0.1,flutriafol,sim,trigo,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.1,flutriafol,sim,abobrinha,miligrama/kilograma  ,12/08/2014 00:00:00
quimico,0.1,flutriafol,sim,alho,miligrama/kilograma  ,12/08/2014 00:00:00
quimico,0.1,flutriafol,sim,banana,miligrama/kilograma  ,07/13/2007 00:00:00
quimico,0.1,flutriafol,sim,batata-doce,miligrama/kilograma  ,12/08/2014 00:00:00
quimico,0.5,flutriafol,sim,cacau,miligrama/kilograma  ,12/08/2014 00:00:00
quimico,0.1,flutriafol,sim,gergelim,miligrama/kilograma  ,12/08/2014 00:00:00
quimico,0.1,flutriafol,sim,inhame,miligrama/kilograma  ,12/08/2014 00:00:00
quimico,0.1,flutriafol,sim,triticale,miligrama/kilograma  ,09/08/2020 00:00:00
quimico,0.5,flutriafol,sim,macadâmia,miligrama/kilograma  ,03/08/2023 00:00:00
quimico,0.3,flutriafol,sim,tomate,miligrama/kilograma  ,10/04/2019 00:00:00
quimico,0.5,flutriafol,sim,abacaxi,miligrama/kilograma  ,12/08/2014 00:00:00
quimico,0.1,flutriafol,sim,berinjela,miligrama/kilograma  ,12/08/2014 00:00:00
quimico,0.05,flutriafol,sim,café,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,8.0,fludioxonil,sim,citros,miligrama/kilograma  ,09/28/2020 00:00:00
quimico,0.5,fludioxonil,sim,grão-de-bico,miligrama/kilograma  ,10/05/2022 00:00:00
quimico,0.2,fludioxonil,sim,mamona,miligrama/kilograma  ,10/05/2022 00:00:00
quimico,0.5,fludioxonil,sim,pera,miligrama/kilograma  ,10/05/2022 00:00:00
quimico,0.07,fludioxonil,sim,chalota,miligrama/kilograma  ,10/05/2022 00:00:00
quimico,5.0,fludioxonil,sim,almeirão,miligrama/kilograma  ,10/05/2022 00:00:00
quimico,2.0,fludioxonil,sim,amora,miligrama/kilograma  ,10/05/2022 00:00:00
quimico,6.0,fludioxonil,sim,maçã,miligrama/kilograma  ,03/08/2024 00:00:00
quimico,6.0,fludioxonil,sim,pitaya,miligrama/kilograma  ,03/08/2024 00:00:00
quimico,0.01,fludioxonil,sim,centeio,miligrama/kilograma  ,09/05/2024 00:00:00
quimico,6.0,fludioxonil,sim,carambola,miligrama/kilograma  ,12/23/2024 00:00:00
quimico,1.0,difenoconazol,sim,arroz,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,1.0,difenoconazol,sim,couve-flor,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.5,difenoconazol,sim,maçã,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.2,difenoconazol,sim,maracujá,miligrama/kilograma  ,09/23/2014 00:00:00
quimico,0.01,difenoconazol,sim,milheto,miligrama/kilograma  ,11/03/2020 00:00:00
quimico,0.01,difenoconazol,sim,sorgo,miligrama/kilograma  ,11/03/2020 00:00:00
quimico,0.5,difenoconazol,sim,algodão,miligrama/kilograma  ,09/08/2022 00:00:00
quimico,3.0,difenoconazol,sim,acelga,miligrama/kilograma  ,09/08/2022 00:00:00
quimico,2.0,difenoconazol,sim,marmelo,miligrama/kilograma  ,03/30/2022 00:00:00
quimico,0.1,difenoconazol,sim,noz-pecã,miligrama/kilograma  ,03/30/2022 00:00:00
quimico,0.04,difenoconazol,sim,gergelim,miligrama/kilograma  ,03/30/2022 00:00:00
quimico,0.04,difenoconazol,sim,linhaça,miligrama/kilograma  ,03/30/2022 00:00:00
quimico,3.0,difenoconazol,sim,chicória,miligrama/kilograma  ,09/08/2022 00:00:00
quimico,1.5,difenoconazol,sim,coentro,miligrama/kilograma  ,12/01/2023 00:00:00
quimico,0.01,difenoconazol,sim,couve,miligrama/kilograma  ,12/01/2023 00:00:00
quimico,0.6,difenoconazol,sim,goiaba,miligrama/kilograma  ,12/01/2023 00:00:00
quimico,0.1,difenoconazol,sim,amendoim,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,1.0,famoxadona,sim,tomate,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,10.0,famoxadona,sim,acelga,miligrama/kilograma  ,03/30/2022 00:00:00
quimico,0.01,famoxadona,sim,alho,miligrama/kilograma  ,08/17/2022 00:00:00
quimico,0.05,famoxadona,sim,melancia,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.1,famoxadona,sim,maxixe,miligrama/kilograma  ,09/08/2020 00:00:00
quimico,0.01,famoxadona,sim,cebola,miligrama/kilograma  ,01/25/2016 00:00:00
quimico,0.15,famoxadona,sim,melancia,miligrama/kilograma  ,01/25/2016 00:00:00
quimico,0.1,famoxadona,sim,pepino,miligrama/kilograma  ,05/28/2019 00:00:00
quimico,0.06,famoxadona,sim,couve-chinesa,miligrama/kilograma  ,03/30/2022 00:00:00
quimico,0.06,famoxadona,sim,couve-de-bruxelas,miligrama/kilograma  ,03/30/2022 00:00:00
quimico,0.04,famoxadona,sim,pimentão,miligrama/kilograma  ,03/30/2022 00:00:00
quimico,10.0,famoxadona,sim,rúcula,miligrama/kilograma  ,03/30/2022 00:00:00
quimico,0.1,famoxadona,sim,abobrinha,miligrama/kilograma  ,05/28/2019 00:00:00
quimico,0.01,famoxadona,sim,batata,miligrama/kilograma  ,01/25/2016 00:00:00
quimico,0.03,famoxadona,sim,melão,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.04,famoxadona,sim,jiló,miligrama/kilograma  ,03/30/2022 00:00:00
quimico,0.6,difenoconazol,sim,jiló,miligrama/kilograma  ,05/04/2022 00:00:00
quimico,3.0,difenoconazol,sim,alface,miligrama/kilograma  ,09/08/2022 00:00:00
quimico,0.08,difenoconazol,sim,centeio,miligrama/kilograma  ,12/01/2023 00:00:00
quimico,0.6,difenoconazol,sim,figo,miligrama/kilograma  ,12/01/2023 00:00:00
quimico,0.2,difenoconazol,sim,beterraba,miligrama/kilograma  ,12/01/2023 00:00:00
quimico,3.0,difenoconazol,sim,arroz,miligrama/kilograma  ,03/08/2024 00:00:00
quimico,0.07,difenoconazol,sim,abobrinha,miligrama/kilograma  ,07/04/2016 00:00:00
quimico,0.02,difenoconazol,sim,abobrinha,miligrama/kilograma  ,09/23/2014 00:00:00
quimico,0.5,difenoconazol,sim,goiaba,miligrama/kilograma  ,06/25/2018 00:00:00
quimico,2.0,difenoconazol,sim,nectarina,miligrama/kilograma  ,08/08/2016 00:00:00
