NO_SUBSTANCIA;TP_SUBSTANCIA;NU_LMR;CO_MONOGRAFIA;DS_INGREDIENTE_ATIVO;NU_CAS;ST_AUTORIZADO;NO_CULTURA;TIPO_LIMITE;NO_VALOR_REFERENCIA;NO_UNIDADE_MEDIDA;DS_ATO_LEGAL;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA;DT_ATUALIZACAO
"CARBOXINA";"Quimico";0.2000000000;"C05";"CARBOXINA";"5234684";"SIM";"Feijão-vagem";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA IN Nº 146, DE 29 DE ABRIL DE 2022";"05/04/2022 00:00:00";;"09/24/2025 00:00:00"
"CIPERMETRINA";"Quimico";0.1500000000;"C10";"CIPERMETRINA";"52315078";"SIM";"Abóbora";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 167, DE 12 DE AGOSTO DE 2022";"08/17/2022 00:00:00";;"09/24/2025 00:00:00"
"CLOROTALONIL";"Quimico";0.5000000000;"C18";"CLOROTALONIL";"1897456";"SIM";"Soja";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO Nº 2.754, DE 9 DE OUTUBRO DE 2018";"10/10/2018 00:00:00";;"09/24/2025 00:00:00"
"CLETODIM";"Quimico";0.0500000000;"C32";"CLETODIM";"99129212";"SIM";"Caqui";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 2.756, DE 2 DE OUTUBRO DE 2019";"10/04/2019 00:00:00";;"09/24/2025 00:00:00"
"CIFLUTRINA";"Quimico";0.0100000000;"C30";"CIFLUTRINA";"68359375";"SIM";"Soja";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";"07/18/2021 00:00:00";"09/24/2025 00:00:00"
"CLORFLUAZUROM";"Quimico";0.0100000000;"C38";"CLORFLUAZUROM";"71422678";"SIM";"Feijão";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE N° 679, DE 17 DE MARÇO DE 2017";"03/20/2017 00:00:00";;"09/24/2025 00:00:00"
"CLORFENAPIR";"Quimico";0.5000000000;"C40";"CLORFENAPIR";"122453730";"SIM";"Alho";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";;"09/24/2025 00:00:00"
"CIPRODINIL";"Quimico";0.3000000000;"C47";"CIPRODINIL";"121552612";"SIM";"Chuchu";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 167, DE 12 DE AGOSTO DE 2022";"08/17/2022 00:00:00";;"09/24/2025 00:00:00"
"CRESOXIM-METÍLICO";"Quimico";0.3000000000;"C56";"CRESOXIM-METÍLICO";"143390890";"SIM";"Romã";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 1.380, DE 4 DE MAIO DE 2020";"05/06/2020 00:00:00";;"09/24/2025 00:00:00"
"BETA-CIPERMETRINA";"Quimico";0.0200000000;"C59";"BETA-CIPERMETRINA";"65731842";"SIM";"Guaraná";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 2.340, DE 17 DE AGOSTO DE 2015";"08/19/2015 00:00:00";"03/29/2022 00:00:00";"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.3000000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Café";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";;"09/24/2025 00:00:00"
"BETA-CIPERMETRINA";"Quimico";0.0900000000;"C59";"BETA-CIPERMETRINA";"65731842";"SIM";"Soja";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 266, DE 29 DE NOVEMBRO DE 2023";"12/01/2023 00:00:00";;"09/24/2025 00:00:00"
"LAMBDA-CIALOTRINA";"Quimico";0.0500000000;"C63";"LAMBDA-CIALOTRINA";"91465086";"SIM";"Gergelim";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA  IN N° 215, DE 2 DE MARÇO DE 2023";"03/08/2023 00:00:00";;"09/24/2025 00:00:00"
"LAMBDA-CIALOTRINA";"Quimico";0.2000000000;"C63";"LAMBDA-CIALOTRINA";"91465086";"SIM";"Pitaya";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA IN N° 300, DE 17 DE MAIO DE 2024";"05/20/2024 00:00:00";"03/27/2025 00:00:00";"09/24/2025 00:00:00"
"CLORANTRANILIPROLE";"Quimico";0.3000000000;"C70";"CLORANTRANILIPROLE";"500008457";"SIM";"Abobrinha";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE N° 4.704, DE 5 DE DEZEMBRO DE 2014";"12/08/2014 00:00:00";;"09/24/2025 00:00:00"
