NO_SUBSTANCIA;TP_SUBSTANCIA;NU_LMR;CO_MONOGRAFIA;DS_INGREDIENTE_ATIVO;NU_CAS;ST_AUTORIZADO;NO_CULTURA;TIPO_LIMITE;NO_VALOR_REFERENCIA;NO_UNIDADE_MEDIDA;DS_ATO_LEGAL;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA;DT_ATUALIZACAO
"ZETA-CIPERMETRINA";"Quimico";0.0500000000;"C60";"ZETA-CIPERMETRINA";"1315501188";"SIM";"Grão-de-bico";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO RE Nº 1.851, DE 6 DE MAIO DE 2021";"05/10/2021 00:00:00";"12/27/2022 00:00:00";"09/24/2025 00:00:00"
"ZETA-CIPERMETRINA";"Quimico";0.0500000000;"C60";"ZETA-CIPERMETRINA";"1315501188";"SIM";"Lentilha";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO RE Nº 1.851, DE 6 DE MAIO DE 2021";"05/10/2021 00:00:00";"12/27/2022 00:00:00";"09/24/2025 00:00:00"
"ZETA-CIPERMETRINA";"Quimico";0.0500000000;"C60";"ZETA-CIPERMETRINA";"1315501188";"SIM";"Nabo";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO RE Nº 1.438, DE 8 DE ABRIL DE 2021";"04/12/2021 00:00:00";;"09/24/2025 00:00:00"
"ZETA-CIPERMETRINA";"Quimico";0.0500000000;"C60";"ZETA-CIPERMETRINA";"1315501188";"SIM";"Lentilha";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 203, DE 26 DE DEZEMBRO DE 2022";"12/28/2022 00:00:00";;"09/24/2025 00:00:00"
"ZETA-CIPERMETRINA";"Quimico";0.9000000000;"C60";"ZETA-CIPERMETRINA";"1315501188";"SIM";"Tomate";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 167, DE 12 DE AGOSTO DE 2022";"08/17/2022 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.0500000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Lentilha";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO RE Nº 1.851, DE 6 DE MAIO DE 2021";"05/10/2021 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.1500000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Abóbora";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 167, DE 12 DE AGOSTO DE 2022";"08/17/2022 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.0500000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Nabo";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 1.438, DE 8 DE ABRIL DE 2021";"04/12/2021 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.7000000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Azeitona";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA  IN Nº 346, DE 20 DE FEVEREIRO DE 2025";"02/24/2025 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.0500000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Centeio";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 1.891, DE 15 DE JULHO DE 2016";"07/18/2016 00:00:00";"06/04/2017 00:00:00";"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.0700000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Mostarda";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 4.970, DE 30 DE DEZEMBRO DE 2014";"01/02/2015 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.0200000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Rabanete";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 2.590, DE 18 DE SETEMBRO DE 2019";"09/19/2019 00:00:00";"04/11/2021 00:00:00";"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.0100000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Repolho";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 4.970, DE 30 DE DEZEMBRO DE 2014";"01/02/2015 00:00:00";"05/27/2018 00:00:00";"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";1.0000000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Seriguela";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 2.590, DE 18 DE SETEMBRO DE 2019";"09/19/2019 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.0500000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Trigo";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 2.495, DE 27 DE MAIO DE 2010";"05/31/2010 00:00:00";"06/04/2017 00:00:00";"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.0500000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Grão-de-bico";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO RE Nº 1.851, DE 6 DE MAIO DE 2021";"05/10/2021 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.3000000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Couve-Flor";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 167, DE 12 DE AGOSTO DE 2022";"08/17/2022 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.1500000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Pepino";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 167, DE 12 DE AGOSTO DE 2022";"08/17/2022 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.9000000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Tomate";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 167, DE 12 DE AGOSTO DE 2022";"08/17/2022 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.0100000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Nectarina";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 126, DE 25 DE MARÇO DE 2022";"03/30/2022 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.0500000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Alho";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 167, DE 12 DE AGOSTO DE 2022";"08/17/2022 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.0500000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Rabanete";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 1.438, DE 8 DE ABRIL DE 2021";"04/12/2021 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.7000000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Anonáceas";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 126, DE 25 DE MARÇO DE 2022";"03/30/2022 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.0200000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Batata-doce";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 2.590, DE 18 DE SETEMBRO DE 2019";"09/19/2019 00:00:00";"04/11/2021 00:00:00";"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.0200000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Cará";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 2.590, DE 18 DE SETEMBRO DE 2019";"09/19/2019 00:00:00";"02/21/2023 00:00:00";"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.0200000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Inhame";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 2.590, DE 18 DE SETEMBRO DE 2019";"09/19/2019 00:00:00";"04/11/2021 00:00:00";"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.0500000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Mandioca";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 2.590, DE 18 DE SETEMBRO DE 2019";"09/19/2019 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.0200000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Mandioquinha-salsa / Batata Baroa";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 4.970, DE 30 DE DEZEMBRO DE 2014";"01/02/2015 00:00:00";"04/11/2021 00:00:00";"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";1.0000000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Sorgo";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE N° 3.392, DE 3 DE SETEMBRO DE 2014";"09/04/2014 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.5000000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Triticale";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 1.478, DE 2 DE JUNHO DE 2017";"06/05/2017 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.3000000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Citros";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 1.350, DE 25 DE MAIO DE 2018";"05/28/2018 00:00:00";"11/30/2023 00:00:00";"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";2.0000000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Arroz";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO RE Nº 662, DE 11 DE FEVEREIRO DE 2021";"02/17/2021 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.1500000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Melão";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 167, DE 12 DE AGOSTO DE 2022";"08/17/2022 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.4000000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Pimenta";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 167, DE 12 DE AGOSTO DE 2022";"08/17/2022 00:00:00";;"09/24/2025 00:00:00"
"ALFA-CIPERMETRINA";"Quimico";0.5000000000;"C58";"ALFA-CIPERMETRINA";"67375308";"SIM";"Uva";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 126, DE 25 DE MARÇO DE 2022";"03/30/2022 00:00:00";;"09/24/2025 00:00:00"
"BETA-CIPERMETRINA";"Quimico";0.3000000000;"C59";"BETA-CIPERMETRINA";"65731842";"SIM";"Café";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE N° 4.484, DE 30 DE SETEMBRO DE 2010";"10/04/2010 00:00:00";;"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";0.5000000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Jiló";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";"03/25/2007 00:00:00";"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";0.2000000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Melancia";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 779, DE 23 DE MARÇO DE 2007";"03/26/2007 00:00:00";;"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";0.5000000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Tomate";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";;"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";0.0400000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Coco";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 276, DE 22 DE FEVEREIRO DE 2024";"03/01/2024 00:00:00";;"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";0.5000000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Alface";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";;"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";0.0100000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Almeirão";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 779, DE 23 DE MARÇO DE 2007";"03/26/2007 00:00:00";;"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";0.5000000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Batata";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";"03/25/2007 00:00:00";"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";0.0500000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Cenoura";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 2.094, DE 03 DE AGOSTO DE 2016";"08/08/2016 00:00:00";;"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";2.0000000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Mamão";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 779, DE 23 DE MARÇO DE 2007";"03/26/2007 00:00:00";;"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";0.5000000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Melão";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";"03/25/2007 00:00:00";"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";0.0500000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Repolho";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 779, DE 23 DE MARÇO DE 2007";"03/26/2007 00:00:00";;"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";0.5000000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Triticale";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO RE Nº 407, DE 28 DE JANEIRO DE 2021";"02/01/2021 00:00:00";;"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";2.0000000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Arroz";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA-IN nº 141, DE 29 DE ABRIL DE 2022";"05/04/2022 00:00:00";;"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";0.0500000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Amendoim";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 2.094, DE 03 DE AGOSTO DE 2016";"08/08/2016 00:00:00";;"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";0.1000000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Banana";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 779, DE 23 DE MARÇO DE 2007";"03/26/2007 00:00:00";;"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";2.0000000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Couve";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 779, DE 23 DE MARÇO DE 2007";"03/26/2007 00:00:00";;"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";0.0500000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Couve-Flor";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 779, DE 23 DE MARÇO DE 2007";"03/26/2007 00:00:00";;"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";0.0700000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Feijão";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 779, DE 23 DE MARÇO DE 2007";"03/26/2007 00:00:00";;"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";0.1000000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Goiaba";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 779, DE 23 DE MARÇO DE 2007";"03/26/2007 00:00:00";;"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";2.0000000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Pastagem";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 2.094, DE 03 DE AGOSTO DE 2016";"08/08/2016 00:00:00";"07/30/2017 00:00:00";"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";0.1000000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Sorgo";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 988, DE 10 DE MARÇO DE 2010";"03/11/2010 00:00:00";"01/31/2021 00:00:00";"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";0.5000000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Trigo";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO - RE Nº 779, DE 23 DE MARÇO DE 2007";"03/26/2007 00:00:00";;"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";2.0000000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Soja";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA-IN Nº 190, DE 31 DE OUTUBRO DE 2022";"11/03/2022 00:00:00";;"09/24/2025 00:00:00"
"IMIDACLOPRIDO";"Quimico";0.0700000000;"I13";"IMIDACLOPRIDO";"138261413";"SIM";"Feijões";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 288, DE 20 DE MARÇO DE 2024";"03/21/2024 00:00:00";;"09/24/2025 00:00:00"
"LUFENUROM";"Quimico";0.0500000000;"L05";"LUFENUROM";"103055078";"SIM";"Soja";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";;"09/24/2025 00:00:00"
"LUFENUROM";"Quimico";0.7000000000;"L05";"LUFENUROM";"103055078";"SIM";"Caju";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA IN Nº 190, DE 31 DE OUTUBRO DE 2022";"11/03/2022 00:00:00";;"09/24/2025 00:00:00"
"LUFENUROM";"Quimico";0.0200000000;"L05";"LUFENUROM";"103055078";"SIM";"Couve-Flor";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 126, DE 25 DE MARÇO DE 2022";"03/30/2022 00:00:00";;"09/24/2025 00:00:00"
"LUFENUROM";"Quimico";0.0200000000;"L05";"LUFENUROM";"103055078";"SIM";"Dendê";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 126, DE 25 DE MARÇO DE 2022";"03/30/2022 00:00:00";;"09/24/2025 00:00:00"
"LAMBDA-CIALOTRINA";"Quimico";0.4000000000;"C63";"LAMBDA-CIALOTRINA";"91465086";"SIM";"Aveia";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 228, DE 01 DE JUNHO DE 2023";"06/02/2023 00:00:00";;"09/24/2025 00:00:00"
"Ciantraniliprole";"Quimico";0.3000000000;"C74";"Ciantraniliprole";"736994631";"SIM";"Marmelo";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN N° 214, DE 01 DE MARÇO DE 2023";"03/08/2023 00:00:00";;"09/24/2025 00:00:00"
"CLORANTRANILIPROLE";"Quimico";0.3000000000;"C70";"CLORANTRANILIPROLE";"500008457";"SIM";"Pepino";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";;"09/24/2025 00:00:00"
"Ciantraniliprole";"Quimico";0.0100000000;"C74";"Ciantraniliprole";"736994631";"SIM";"Milheto";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 126, DE 25 DE MARÇO DE 2022";"03/30/2022 00:00:00";;"09/24/2025 00:00:00"
"DELTAMETRINA";"Quimico";0.0300000000;"D06";"DELTAMETRINA";"52918635";"SIM";"Batata";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA IN Nº 141, DE 29 DE ABRIL DE 2022";"05/04/2022 00:00:00";;"09/24/2025 00:00:00"
"DIFENOCONAZOL";"Quimico";0.5000000000;"D36";"DIFENOCONAZOL";;"SIM";"Seriguela";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO RE Nº 169, DE 14 DE JANEIRO DE 2021";"01/18/2021 00:00:00";;"09/24/2025 00:00:00"
"DIBROMETO DE DIQUATE";"Quimico";0.0100000000;"D21.1";"DIBROMETO DE DIQUATE";"85007";"SIM";"Banana";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 238, DE 01 DE AGOSTO DE 2023";"08/02/2023 00:00:00";;"09/24/2025 00:00:00"
"IPRODIONA";"Quimico";1.0000000000;"I05";"IPRODIONA";"36734197";"SIM";"Carambola";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 167, DE 12 DE AGOSTO DE 2022";"08/17/2022 00:00:00";;"09/24/2025 00:00:00"
"IMAZAPIR";"Quimico";0.1500000000;"I12";"IMAZAPIR";"81334341";"SIM";"Trigo";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 233, DE 01 DE AGOSTO DE 2023";"08/02/2023 00:00:00";;"09/24/2025 00:00:00"
"LUFENUROM";"Quimico";0.0200000000;"L05";"LUFENUROM";"103055078";"SIM";"Açaí";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 126, DE 25 DE MARÇO DE 2022";"03/30/2022 00:00:00";;"09/24/2025 00:00:00"
"LUFENUROM";"Quimico";0.2000000000;"L05";"LUFENUROM";"103055078";"SIM";"Nectarina";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 126, DE 25 DE MARÇO DE 2022";"03/30/2022 00:00:00";;"09/24/2025 00:00:00"
"LUFENUROM";"Quimico";0.2000000000;"L05";"LUFENUROM";"103055078";"SIM";"Nêspera";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 126, DE 25 DE MARÇO DE 2022";"03/30/2022 00:00:00";;"09/24/2025 00:00:00"
